filename,station,res_tier,part,bytes,sha256
quarter_res_trees_Scan_1003_3.lsp,1003,quarter,3,28306130,0ccd99cbf2b1b3fd458f76bf7a1e2580916e985792dc06592fb1d65096b8c8d1
quarter_res_trees_Scan_1003_4.lsp,1003,quarter,4,6993089,b407c87d1ce4833810932f71f329aabc6909e511a071c796ae956bd43035fc43
quarter_res_trees_Scan_1003_5.lsp,1003,quarter,5,44439265,5f49a2fe594a228efbc14cd6fcce13fa8cf0a9cc439d1b803ec3699db1bc71e3
quarter_res_trees_Scan_1004_0.lsp,1004,quarter,0,35590098,318248a9e83e0aeea9a30e385dfcef429df8035f63293941b62a45c8e306a966
quarter_res_trees_Scan_1004_1.lsp,1004,quarter,1,37779555,9f53e0f06b290ed669abaa0fb24f8bbe38d43ce13afc13f11cc47fd45fab066e
quarter_res_trees_Scan_1004_2.lsp,1004,quarter,2,38026705,8c1fc2730b6fa8e2bef363bee68a58a53734405f13a3cdae7ea08ec1e6646812
quarter_res_trees_Scan_1004_3.lsp,1004,quarter,3,30158490,84beb52ea5709b6856b5244f3189c9709ec5bb7149458e9c682a6b8a37fdcab8
quarter_res_trees_Scan_1004_4.lsp,1004,quarter,4,1298481,8a22798500826c933445bb42dc1764acef75234474eb8d75ac203ab7a65ad651
quarter_res_trees_Scan_1004_5.lsp,1004,quarter,5,51231856,d99a07686de41a1d91afa5c35702498e58b9d604953fe5428980ba103193aa96
quarter_res_trees_Scan_1005_0.lsp,1005,quarter,0,37594398,cb99997c9589cf9521514414feeb01b13a59c103dbed112fd9e3537e0b259100
quarter_res_trees_Scan_1005_1.lsp,1005,quarter,1,39518256,d3f4cbecd121b7a65c10050096e4734181c52f327ad935f1b740281da32c2bae
quarter_res_trees_Scan_1005_2.lsp,1005,quarter,2,37097335,e011e0a101631f61c5c4230002d34bbc2f86f8252f0bffc988404dbbefcedc43
quarter_res_trees_Scan_1005_3.lsp,1005,quarter,3,30714662,1e6c72f295e277d2db4cfcd597dbdb07287421a79debb227310e110dfe4eea4a
quarter_res_trees_Scan_1005_4.lsp,1005,quarter,4,513496,543ab217f68cfa73c5c63740e40b9424df5ffe0d18cbabb6b777a3bd842f1440
quarter_res_trees_Scan_1005_5.lsp,1005,quarter,5,51732553,487db95b93b37c36e4bfb7c30c8c1e48611cda497f2eab30f92ac5acb8cd2061
quarter_res_trees_Scan_1009_0.lsp,1009,quarter,0,42346169,4f67dc3761bd0ab8b08e75e11ba252a964059479c7f5373792e2a69256cd8074
quarter_res_trees_Scan_1009_1.lsp,1009,quarter,1,34632186,fc460e38e3f0c5f3ce390a6843cb0e13dcda0ddc3509108bab90ebad2e45f52c
quarter_res_trees_Scan_1009_2.lsp,1009,quarter,2,43580369,317d8166d3d14f86763c90e2aa33ee0c6e6d840bddc88e3ed3f1cc9456411531
quarter_res_trees_Scan_1009_3.lsp,1009,quarter,3,42001614,4066f58df981662cb98dbfcfa7a285d30bd7177c86d73e96f3eeb04e2d8a365b
quarter_res_trees_Scan_1009_4.lsp,1009,quarter,4,55351168,f0b91df99ed00d5ed5f44f4a3583bcd73594af94703017ce0ac1c509bc32036d
quarter_res_trees_Scan_1009_5.lsp,1009,quarter,5,52570191,6fe3fbd8b3bb75db9d3e2c57c79e5b87610d0517417ea2a6a4c42c9b38a4152b
quarter_res_trees_Scan_1010_0.lsp,1010,quarter,0,43924741,149214b511277583a913dc15c773c20f6182be531282a2577edc97fd347a5735
quarter_res_trees_Scan_1010_1.lsp,1010,quarter,1,37172561,15e20e9a69258b54eed66f1edc11103ab29f0611675f874922aa42b912f62d9c
quarter_res_trees_Scan_1010_2.lsp,1010,quarter,2,46234346,2f66899bc45666f7ee46465e47b9646485a342c690cb6549d08b7fdd5ed9211b
quarter_res_trees_Scan_1010_3.lsp,1010,quarter,3,44224458,acf5ca6a99ec4287b572787e6df00c626fcbba208ecb29c9284b32a2bff5c0d7
